demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
achievement [əˈtʃiːvmənt] (n.) [anki:play:q:0]	достижение, успех [anki:play:a:0]
wide [ˈwaɪd] (adj.) [anki:play:q:0]	широкий [anki:play:a:0]
increase [ɪnˈkriːs] (v.) [anki:play:q:0]	возрастать, расти [anki:play:a:0]
freeze [ˈfriːz] (v.) [anki:play:q:0]	замерзать, застывать [anki:play:a:0]
anymore [ˌeniːˈmɔr] (adv.) [anki:play:q:0]	больше не, уже не [anki:play:a:0]
shout [ˈʃæʊt] (v.) [anki:play:q:0]	кричать [anki:play:a:0]
shaped [ˌʃeɪpt] (adj.) [anki:play:q:0]	имеющий определенную форму [anki:play:a:0]
notice [ˈnoʊtəs] (v.) [anki:play:q:0]	замечать, обращать внимание [anki:play:a:0]
condition [kənˈdɪʃən] (n.) [anki:play:q:0]	состояние, положение [anki:play:a:0]
statement [ˈsteɪtmənt] (n.) [anki:play:q:0]	заявление, утверждение [anki:play:a:0]
class [ˈklæs] (n.) [anki:play:q:0]	класс, группа [anki:play:a:0]
all right [ˈɔl ˈraɪt ] (exclamation) [anki:play:q:0]	давай! ладно! [anki:play:a:0]
recommend [ˌrekəˈmend] (v.) [anki:play:q:0]	рекомендовать, советовать [anki:play:a:0]
float [ˈfloʊt] (v.) [anki:play:q:0]	плавать, всплывать, держаться на поверхности [anki:play:a:0]
reduce [rɪˈduːs] (v.) [anki:play:q:0]	ослаблять, понижать [anki:play:a:0]
department [dɪˈpɑrtmənt] (n.) [anki:play:q:0]	отдел, кафедра [anki:play:a:0]
month [ˈmənθ] (n.) [anki:play:q:0]	месяц [anki:play:a:0]
horse [ˈhɔrs] (n.) [anki:play:q:0]	конь, лошадь [anki:play:a:0]
comparison [kəmˈperəsən] (n.) [anki:play:q:0]	сравнение [anki:play:a:0]
society [səˈsaɪətiː] (n.) [anki:play:q:0]	общество [anki:play:a:0]
capital [ˈkæpətəl] (n.) [anki:play:q:0]	капитал, выгода [anki:play:a:0]
progress [ˈprɑgrəs] (n.) [anki:play:q:0]	прогресс, движение вперед [anki:play:a:0]
red [ˈred] (n.) [anki:play:q:0]	красный цвет или краска [anki:play:a:0]
concentrate [ˈkɑnsənˌtreɪt] (v.) [anki:play:q:0]	сосредоточиваться, собираться [anki:play:a:0]
powerful [ˈpæʊrfəl] (adj.) [anki:play:q:0]	крепкий, могучий, полный сил [anki:play:a:0]
ordinary [ˈɔrdəˌneriː] (adj.) [anki:play:q:0]	обычный, обыкновенный [anki:play:a:0]
near [ˈnɪr] (prep.) [anki:play:q:0]	возле, около [anki:play:a:0]
load [ˈloʊd] (v.) [anki:play:q:0]	грузить, производить посадку [anki:play:a:0]
these [these] (pron.) [anki:play:q:0]	этот, эта, это [anki:play:a:0]
enjoy [ɪnˈdʒɔɪ] (v.) [anki:play:q:0]	наслаждаться, любить что-л. [anki:play:a:0]
everybody [ˈevrɪˌbədiː] (pron.) [anki:play:q:0]	каждый, все [anki:play:a:0]
order [ˈɔrdər] (n.) [anki:play:q:0]	порядок, последовательность, система, приказ, заказ в ресторане [anki:play:a:0]
impatient [ɪmˈpeɪʃənt] (adj.) [anki:play:q:0]	нетерпеливый [anki:play:a:0]
hurry [ˈhəriː] (v.) [anki:play:q:0]	торопить, подгонять [anki:play:a:0]
even [ˈiːvən] (adv.) [anki:play:q:0]	даже, как раз [anki:play:a:0]
entertain [ˌentərˈteɪn] (v.) [anki:play:q:0]	принимать, угощать [anki:play:a:0]
each [ˈiːtʃ] (pron.) [anki:play:q:0]	каждый, всякий [anki:play:a:0]
brother [ˈbrəðər] (n.) [anki:play:q:0]	брат, коллега, земляк [anki:play:a:0]
poison [ˈpɔɪzən] (v.) [anki:play:q:0]	отравлять, заражать [anki:play:a:0]
weigh [ˈweɪ] (v.) [anki:play:q:0]	взвешивать, оценивать [anki:play:a:0]
cow [ˈkæʊ] (n.) [anki:play:q:0]	корова (самка) [anki:play:a:0]
attract [əˈtrækt] (v.) [anki:play:q:0]	притягивать, привлекать [anki:play:a:0]
race [ˈreɪs] (n.) [anki:play:q:0]	гонка, скачки [anki:play:a:0]
safely [safely] (adv.) [anki:play:q:0]	безопасно, надежно [anki:play:a:0]
determined [dɪˈtərmənd] (adj.) [anki:play:q:0]	решительный, твердый [anki:play:a:0]
grammar [ˈgræmər] (n.) [anki:play:q:0]	грамматика [anki:play:a:0]
please [ˈpliːz] (v.) [anki:play:q:0]	радовать, доставлять удовольствие [anki:play:a:0]
either [ˈiːðər] (adj.) [anki:play:q:0]	один из двух [anki:play:a:0]
pint [ˈpaɪnt] (n.) [anki:play:q:0]	пинта (0, 568 л) [anki:play:a:0]
kid [ˈkɪd] (n.) [anki:play:q:0]	козленок, ребенок, малыш [anki:play:a:0]
imagine [ɪˈmædʒən] (v.) [anki:play:q:0]	воображать, представлять [anki:play:a:0]
deeply [deeply] (adv.) [anki:play:q:0]	глубоко, вдумчиво [anki:play:a:0]
exercise [ˈeksərˌsaɪz] (n.) [anki:play:q:0]	упражнение, тренировка [anki:play:a:0]
would [wəd] (modal v.) [anki:play:q:0]	мог бы [anki:play:a:0]
degree [dɪˈgriː] (n.) [anki:play:q:0]	степень, уровень [anki:play:a:0]
shame [ˈʃeɪm] (n.) [anki:play:q:0]	стыд, позор [anki:play:a:0]
wine [ˈwaɪn] (n.) [anki:play:q:0]	вино [anki:play:a:0]
examination [ɪgˌzæməˈneɪʃən] (n.) [anki:play:q:0]	осмотр, обследование [anki:play:a:0]
necessary [ˈnesəˌseriː] (adj.) [anki:play:q:0]	необходимый, нужный [anki:play:a:0]
substance [ˈsəbstəns] (n.) [anki:play:q:0]	вещество, суть, субстанция [anki:play:a:0]
custom [ˈkəstəm] (n.) [anki:play:q:0]	обычай, традиция [anki:play:a:0]
Internet [ˈɪntərˌnet] (n.) [anki:play:q:0]	интернет [anki:play:a:0]
underground [ˌəndərˈgræʊnd] (adv.) [anki:play:q:0]	под землей, подпольно, тайно [anki:play:a:0]
shine [ˈʃaɪn] (v.) [anki:play:q:0]	светить, сиять [anki:play:a:0]
if [ˈɪf] (conj.) [anki:play:q:0]	если, если бы [anki:play:a:0]
rent [ˈrent] (n.) [anki:play:q:0]	арендная плата, прокат [anki:play:a:0]
college [ˈkɑlɪdʒ] (n.) [anki:play:q:0]	колледж [anki:play:a:0]
novel [ˈnɑvəl] (n.) [anki:play:q:0]	роман [anki:play:a:0]
before [bɪˈfɔr] (prep.) [anki:play:q:0]	до, перед [anki:play:a:0]
movement [ˈmuːvmənt] (n.) [anki:play:q:0]	движение, перемещение [anki:play:a:0]
attitude [ˈætəˌtuːd] (n.) [anki:play:q:0]	позиция, отношение [anki:play:a:0]
garden [ˈgɑrdən] (n.) [anki:play:q:0]	сад [anki:play:a:0]
strength [ˈstreŋ(k)θ] (n.) [anki:play:q:0]	сила, интенсивность [anki:play:a:0]
ear [ˈɪr] (n.) [anki:play:q:0]	ухо [anki:play:a:0]
house [ˈhæʊs] (n.) [anki:play:q:0]	дом, жилище, постройка [anki:play:a:0]
radio [ˈreɪdiːˌoʊ] (n.) [anki:play:q:0]	радио [anki:play:a:0]
next [ˈnekst] (n.) [anki:play:q:0]	ближайший (человек или предмет) [anki:play:a:0]
behave [bɪˈheɪv] (v.) [anki:play:q:0]	вести себя, поступать [anki:play:a:0]
excited [ɪkˈsaɪtɪd] (adj.) [anki:play:q:0]	взволнованный [anki:play:a:0]
catch [ˈkætʃ] (v.) [anki:play:q:0]	ловить, поймать [anki:play:a:0]
piece [ˈpiːs] (n.) [anki:play:q:0]	кусок [anki:play:a:0]
smoke [ˈsmoʊk] (v.) [anki:play:q:0]	дымиться, курить [anki:play:a:0]
stand [ˈstænd] (n.) [anki:play:q:0]	подставка, этажерка [anki:play:a:0]
excuse [ɪkˈskjuːz] (v.) [anki:play:q:0]	извиняться [anki:play:a:0]
have to [ˈhæv tə ] (modal v.) [anki:play:q:0]	должен делать [anki:play:a:0]
production [prəˈdəkʃən] (n.) [anki:play:q:0]	производство, добыча, выработка [anki:play:a:0]
product [ˈprɑdəkt] (n.) [anki:play:q:0]	продукт, изделие [anki:play:a:0]
bottom [ˈbɑtəm] (n.) [anki:play:q:0]	низ, днище, дно [anki:play:a:0]
have [ˈhæv] (v.) [anki:play:q:0]	иметь, обладать [anki:play:a:0]
device [dɪˈvaɪs] (n.) [anki:play:q:0]	устройство, аппарат [anki:play:a:0]
curly [ˈkərliː] (adj.) [anki:play:q:0]	кудрявый, изогнутый [anki:play:a:0]
spend [ˈspend] (v.) [anki:play:q:0]	тратить, расходовать [anki:play:a:0]
record [rɪˈkɔrd] (v.) [anki:play:q:0]	записывать, регистрировать [anki:play:a:0]
come [ˈkəm] (v.) [anki:play:q:0]	приходить, идти, приезжать [anki:play:a:0]
nice [ˈnaɪs] (adj.) [anki:play:q:0]	хороший, приятный [anki:play:a:0]
snake [ˈsneɪk] (n.) [anki:play:q:0]	змея [anki:play:a:0]
trouble [ˈtrəbəl] (n.) [anki:play:q:0]	беспокойство, тревога, беда [anki:play:a:0]
importance [ɪmˈpɔrtəns] (n.) [anki:play:q:0]	важность, влиятельность [anki:play:a:0]
bury [ˈberiː] (v.) [anki:play:q:0]	хоронить, зарывать, прятать [anki:play:a:0]
soft [ˈsɔft] (adj.) [anki:play:q:0]	мягкий, слабый [anki:play:a:0]
skill [ˈskɪl] (n.) [anki:play:q:0]	умение, навык [anki:play:a:0]
priority [praɪˈɔrətiː] (n.) [anki:play:q:0]	приоритет [anki:play:a:0]
walk [ˈwɔk] (n.) [anki:play:q:0]	шаг, ходьба [anki:play:a:0]
unfriendly [unfriendly] (adj.) [anki:play:q:0]	враждебный, недружественный [anki:play:a:0]
lay [ˈleɪ] (v.) [anki:play:q:0]	класть, ложить [anki:play:a:0]
command [kəˈmænd] (n.) [anki:play:q:0]	команда, приказ [anki:play:a:0]
continent [ˈkɑntənənt] (n.) [anki:play:q:0]	континент, материк [anki:play:a:0]
believe [bəˈliːv] (v.) [anki:play:q:0]	верить, доверять, думать, полагать [anki:play:a:0]
lot [ˈlɑt] (n.) [anki:play:q:0]	много, уйма [anki:play:a:0]
sing [ˈsɪŋ] (v.) [anki:play:q:0]	петь, напевать [anki:play:a:0]
painful [ˈpeɪnfəl] (adj.) [anki:play:q:0]	болезненный, причиняющий боль [anki:play:a:0]
suggestion [səgˈdʒestʃən] (n.) [anki:play:q:0]	предложение, совет, внушение [anki:play:a:0]
match [ˈmætʃ] (n.) [anki:play:q:0]	спичка, сочетание, пара [anki:play:a:0]
song [ˈsɔŋ] (n.) [anki:play:q:0]	песня [anki:play:a:0]
rare [ˈrer] (adj.) [anki:play:q:0]	редкий, несчастный [anki:play:a:0]
harm [ˈhɑrm] (n.) [anki:play:q:0]	вред, урон [anki:play:a:0]
curved [ˈkərvd] (adj.) [anki:play:q:0]	изогнутый, кривой [anki:play:a:0]
protect [prəˈtekt] (v.) [anki:play:q:0]	защищать, охранять [anki:play:a:0]
Miss [ˈmɪs] (n.) [anki:play:q:0]	мисс, госпожа [anki:play:a:0]
independent [ˌɪndəˈpendənt] (adj.) [anki:play:q:0]	независимый [anki:play:a:0]
any [ˈeniː] (adj.) [anki:play:q:0]	какой-нибудь, нисколько, всякий [anki:play:a:0]
film [ˈfɪlm] (n.) [anki:play:q:0]	фильм, кинопленка [anki:play:a:0]
hungry [ˈhəŋgriː] (adj.) [anki:play:q:0]	голодный [anki:play:a:0]
son [ˈsən] (n.) [anki:play:q:0]	сын [anki:play:a:0]
gold [ˈgoʊld] (n.) [anki:play:q:0]	золото [anki:play:a:0]
rise [ˈraɪz] (v.) [anki:play:q:0]	восходить, вставать [anki:play:a:0]
cook [ˈkʊk] (v.) [anki:play:q:0]	готовить, стряпать [anki:play:a:0]
allow [əˈlæʊ] (v.) [anki:play:q:0]	позволять, разрешать, делать возможным [anki:play:a:0]
mood [ˈmuːd] (n.) [anki:play:q:0]	настроение [anki:play:a:0]
central [ˈsentrəl] (adj.) [anki:play:q:0]	главный, руководящий, центральный [anki:play:a:0]
like [ˈlaɪk] (conj.) [anki:play:q:0]	подобный, аналогичный [anki:play:a:0]
etcetera [etˈsetərə ] (lat.) (etc.) [anki:play:q:0]	так далее [anki:play:a:0]
lie [ˈliː] (n.) [anki:play:q:0]	ложь, неправда [anki:play:a:0]
grass [ˈgrɑs] (n.) [anki:play:q:0]	трава, дерн [anki:play:a:0]
enjoyment [ɪnˈdʒɔɪmənt] (n.) [anki:play:q:0]	наслаждение, удовольствие [anki:play:a:0]
stick [ˈstɪk] (n.) [anki:play:q:0]	палка, рукоятка [anki:play:a:0]
dress [ˈdres] (v.) [anki:play:q:0]	одевать, наряжать [anki:play:a:0]
general [ˈdʒenrəl] (adj.) [anki:play:q:0]	общий, родовой, главный, повсеместный [anki:play:a:0]
cough [ˈkɔf] (v.) [anki:play:q:0]	кашлять [anki:play:a:0]
who [ˈhuː] (pron.) [anki:play:q:0]	кто? который? [anki:play:a:0]
magic [ˈmædʒɪk] (adj.) [anki:play:q:0]	волшебный, магический [anki:play:a:0]
breath [ˈbreθ] (n.) [anki:play:q:0]	дыхание, вздох [anki:play:a:0]
furniture [ˈfərnɪtʃər] (n.) [anki:play:q:0]	мебель, обстановка [anki:play:a:0]
enough [ɪˈnəf] (adj.) [anki:play:q:0]	достаточный [anki:play:a:0]
frighten [ˈfraɪtən] (v.) [anki:play:q:0]	пугать [anki:play:a:0]
trust [ˈtrəst] (n.) [anki:play:q:0]	вера, доверие, кредит, трест [anki:play:a:0]
hit [ˈhɪt] (n.) [anki:play:q:0]	толчек, удар [anki:play:a:0]
become [bɪˈkəm] (v.) [anki:play:q:0]	становится, делаться [anki:play:a:0]
tonight [təˈnaɪt] (n.) [anki:play:q:0]	сегодняшний вечер, наступающая ночь [anki:play:a:0]
sheep [ˈʃiːp] (n.) [anki:play:q:0]	овца, баран [anki:play:a:0]
completely [completely] (adj.) [anki:play:q:0]	вполне, всецело, совсем [anki:play:a:0]
too [ˈtuː] (adv.) [anki:play:q:0]	излишне, слишком, также, тоже [anki:play:a:0]
bother [ˈbɑðər] (v.) [anki:play:q:0]	надоедать, донимать, беспокоить [anki:play:a:0]
life [ˈlaɪf] (n.) [anki:play:q:0]	жизнь [anki:play:a:0]
brief [ˈbriːf] (adj.) [anki:play:q:0]	короткий, недолгий, ограниченный [anki:play:a:0]
score [ˈskɔr] (v.) [anki:play:q:0]	вести счет, выигрывать [anki:play:a:0]
alive [əˈlaɪv] (adj.) [anki:play:q:0]	живой, бодрый [anki:play:a:0]
stuff [ˈstəf] (n.) [anki:play:q:0]	материал, состав, хлам [anki:play:a:0]
coast [ˈkoʊst] (n.) [anki:play:q:0]	побережье [anki:play:a:0]
tall [ˈtɔl] (adj.) [anki:play:q:0]	высокий (человек, здание и тд.) [anki:play:a:0]
layer [ˈleɪər] (n.) [anki:play:q:0]	слой, пласт [anki:play:a:0]
young [ˈjəŋ] (adj.) [anki:play:q:0]	молодой, юный [anki:play:a:0]
after [ˈæftər] (adv.) [anki:play:q:0]	позади, сзади [anki:play:a:0]
highly [ˈhaɪliː] (adv.) [anki:play:q:0]	весьма, крайне, очень [anki:play:a:0]
pick up [ˈpɪk ˈəp] (v.) [anki:play:q:0]	поднимать, подбирать [anki:play:a:0]
coin [ˈkɔɪn] (n.) [anki:play:q:0]	монета, деньги [anki:play:a:0]
partly [ˈpɑrtliː] (adv.) [anki:play:q:0]	частично, в некоторой степени [anki:play:a:0]
alcohol [ˈælkəˌhɔl] (n.) [anki:play:q:0]	алкоголь, спирт [anki:play:a:0]
still [ˈstɪl] (adj.) [anki:play:q:0]	бесшумный, тихий, негазированный [anki:play:a:0]
ignore [ɪgˈnɔr] (v.) [anki:play:q:0]	игнорировать, отклонять [anki:play:a:0]
name [ˈneɪm] (n.) [anki:play:q:0]	имя, фамилия [anki:play:a:0]
medicine [ˈmedəsən] (n.) [anki:play:q:0]	медицина [anki:play:a:0]
require [rɪˈkwaɪr] (v.) [anki:play:q:0]	нуждаться, приказывать, требовать [anki:play:a:0]
light [ˈlaɪt] (n.) [anki:play:q:0]	свет, освещение [anki:play:a:0]
mud [ˈməd] (n.) [anki:play:q:0]	грязь, слякоть, ил [anki:play:a:0]
excitement [ɪkˈsaɪtmənt] (n.) [anki:play:q:0]	волнение, возбуждение [anki:play:a:0]
animal [ˈænəməl] (n.) [anki:play:q:0]	животное, зверь [anki:play:a:0]
conclusion [kənˈkluːʒən] (n.) [anki:play:q:0]	умозаключение, вывод [anki:play:a:0]
cause [ˈkɔz] (v.) [anki:play:q:0]	послужить причиной, поводом (для чего-л.) [anki:play:a:0]
passport [ˈpæsˌpɔrt] (n.) [anki:play:q:0]	паспорт [anki:play:a:0]
basic [ˈbeɪsɪk] (adj.) [anki:play:q:0]	основной, фундаментальный, базисный [anki:play:a:0]
city [ˈsɪtiː] (n.) [anki:play:q:0]	город (большой) [anki:play:a:0]
scale [ˈskeɪl] (n.) [anki:play:q:0]	шкала, ступень, весы, размерность [anki:play:a:0]
will [wəl] (n.) [anki:play:q:0]	воля, сила воли [anki:play:a:0]
temperature [ˈtempəˌtʃʊr] (n.) [anki:play:q:0]	температура [anki:play:a:0]
supply [səˈplaɪ] (n.) [anki:play:q:0]	снабжение, поставка [anki:play:a:0]
extra [ˈekstrə] (adj.) [anki:play:q:0]	добавочный [anki:play:a:0]
clothes [ˈkloʊðz] (n.) [anki:play:q:0]	одежда, платье [anki:play:a:0]
liquid [ˈlɪkwəd] (adj.) [anki:play:q:0]	жидкий, текучий [anki:play:a:0]
wrong [ˈrɔŋ] (adv.) [anki:play:q:0]	неверно, неправильно [anki:play:a:0]
operate [ˈɑpəˌreɪt] (v.) [anki:play:q:0]	работать, действовать, функционировать [anki:play:a:0]
thank you [ˈθæŋk ˈjuː] (n.) [anki:play:q:0]	спасибо [anki:play:a:0]
can [kən] (modal v.) [anki:play:q:0]	мочь, уметь [anki:play:a:0]
far [ˈfɑr] (adj.) [anki:play:q:0]	далекий, дальний, крайний [anki:play:a:0]
